date,n30_entities,n30_validators,n30_stake_pct,n30_countries,n30_asns,top_country,top_asn
2021-06-30,8,27,30.24,5,7,US,AMAZON-AES
2021-09-30,10,35,30.94,8,6,US,AMAZON-02
2021-12-31,10,35,31.06,8,6,US,AMAZON-02
2022-03-31,15,31,30.99,7,9,US,AMAZON-02
2022-06-30,18,33,30.09,7,7,US,AMAZON-02
2022-09-30,15,41,31.06,10,6,JP,AMAZON-02
2022-12-31,11,63,31.73,15,5,JP,AMAZON-02
2023-03-31,11,61,30.54,15,5,JP,AMAZON-02
2023-06-30,18,37,30.72,13,10,JP,AMAZON-02
2023-09-30,17,29,30.63,9,6,JP,AMAZON-02
2023-12-31,22,28,30.27,13,4,DE,AMAZON-02
2024-03-31,19,31,30.61,10,5,DE,AMAZON-02
2024-06-30,21,29,30.29,10,6,DE,AMAZON-02
2024-09-30,21,30,30.20,13,8,DE,AMAZON-02
2024-12-31,19,42,30.31,12,9,IE,AMAZON-02
2025-03-31,17,46,30.32,12,8,IE,AMAZON-02
2025-09-30,14,44,31.42,9,15,US,Amazon Data Services Ireland Limited
2025-12-09,15,51,30.88,5,15,US,Amazon Data Services Ireland Limited
2026-01-31,11,73,30.80,8,15,NL,moula world llc
